시설명,시설주소,X,Y
송파구방이복지관,서울특별시 송파구 백제고분로37길 4,209197.55557492404,544989.8028462583
서울시각장애인복지관,서울특별시 송파구 삼학사로19길 27,208317.74240979837,545187.4109392836
서울시립발달장애인복지관,서울특별시 동작구 여의대방로20길 33,192849.1314021715,543694.5259958252
청음복지관,서울특별시 강남구 봉은사로50길 6,203745.06404180807,545548.855806653
마포장애인종합복지관,서울특별시 마포구 성산로4길 35,191913.52006077048,551587.5962653728
다운복지관,서울특별시 노원구 화랑로478,207088.52492535577,557709.9623762729
원광장애인종합복지관,서울특별시 중랑구 신내로 56,208478.48182106798,556073.310077563
성프란치스꼬장애인종합복지관,서울특별시 구로구 남부순환로105라길 25-10,190316.88151611897,542464.1983665512
성모자애복지관,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
대린원,서울특별시 노원구 동일로248길 30,205015.56204986497,564547.0587318793
동천의집,서울특별시 노원구 노원로 18길 41,206471.52777337804,560533.6658801083
삼성농아원,서울특별시 동작구 양녕로30길 19-4,195218.82413478597,544407.7949282553
다니엘복지원,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
늘편한집,서울특별시 노원구 중계로 163,207117.6880689067,561137.4152863285
임마누엘집,서울특별시 송파구 양산로10길 26,212971.7148107412,543567.1777736834
임마누엘보호작업시설,서울특별시 송파구 양산로10길 26,212971.7148107412,543567.1777736834
아름해든집,서울특별시 강동구 고덕로 295-45,214026.12202356063,550916.8098483314
신아재활원,서울특별시 송파구 양산로8길 17,212876.43737443085,543570.7701313504
우성원,서울특별시 강동구 고덕로 295-45,214026.12202356063,550916.8098483314
영락애니아의집,서울특별시 용산구 후암로4길 70,198345.79987620626,549886.8819411768
사랑의집,서울특별시 은평구 역말로10길 30-1,193273.20290316927,556629.8571936077
암사재활원,서울특별시 강동구 올림픽로 864,211594.44430682505,550964.235874441
은평재활원,서울특별시 은평구 갈현로11길 30,191771.78005402477,556237.133218867
오틸리아 공동생활가정,서울특별시 강남구 학동로26길 15,202637.8512387506,545882.4583244799
새빛바울의집,서울특별시 서초구 방배중앙로 99,198964.75507461204,543191.8007492564
바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,193949.13090853574,557440.5788426287
동천하우스5,서울특별시 중랑구 동일로104길 3,207104.48715785478,554504.7213623512
교남소망의집,서울특별시 강서구 까치산로22길 38,186965.35398690056,549855.9878650266
베데스다의 집,서울특별시 노원구 중계로8길 39,207455.0312791864,560819.0267741141
베데스다장애인주간보호센터,서울특별시 노원구 공릉로58마길 27,206853.84844557883,559648.3971514218
아름다운,서울특별시 중랑구 망우로55길 32,208291.65397685827,555487.7868198894
신망애의집,서울특별시 서초구 남부순환로342길 56-58,202154.2302436759,542177.452007397
강북구립장애인보호작업장,서울특별시 강북구 오현로 199-9,203486.495136431,558866.8040982429
용산구립장애인보호작업장,서울특별시 용산구 한강대로 331,197480.81393718155,549820.8837825363
다니엘의집1호,서울특별시 서초구 염곡안길 19-0,204559.39075056772,540324.9796278245
다니엘의집2호,서울특별시 서초구 염곡안길 19-0302호,204559.39075056772,540324.9796278245
다니엘주간보호센터,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
다니엘단기보호센터,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
사랑나눔주간보호시설,서울특별시 송파구 마천로51길 28,213492.53299489166,544171.5435398438
다니엘직업재활원,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
동천,서울특별시 노원구 노원로18길 41,206471.52777337804,560533.6658801083
노원교육복지재단(다모인),서울특별시 노원구 노원로 311,206147.63106415627,560428.1118876362
영등포구 장애인사랑나눔의 집,서울특별시 영등포구 신길로 55,191864.40638767995,544235.8262452515
원광보호작업장,서울특별시 중랑구 신내로 56,208478.48182106798,556073.310077563
참좋은센터,서울특별시 중랑구 봉화산로56길 99-15,208676.38584951844,556089.8524174852
신아보호작업장,서울특별시 송파구 양산로8길 17,212876.43737443085,543570.7701313504
늘푸른나무복지관,서울특별시 강서구 허준로5길 37 -0,186849.55029055418,552123.89872389
조은세상,서울특별시 중랑구 동일로140길 31-21,207130.81295564317,556119.73352559
서울시립북부장애인종합복지관,서울특별시 노원구 덕릉로70가길 92,205009.5387691672,560303.4915635223
서울시립남부장애인종합복지관,서울특별시 동작구 신대방2동395,193150.81820892176,543923.2829313437
금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17,190828.41536570492,540510.6306337563
볕바라기주간보호센터,서울특별시 금천구 금하로18길 8-1,191597.51825591587,539208.870360285
데일리스보호작업시설,서울특별시 동대문구 천호대로83길 14,205721.693457808,551477.8492488725
북서울장애인보호작업시설,서울특별시 강북구 한천로115길 20,203196.77653773697,559275.7835445942
소망의집,서울특별시 강북구 인수봉로64길 30,201285.10840472888,560002.5368468793
삼성떡프린스,서울특별시 동작구 양녕로30길 19-4,195218.82413478597,544407.7949282553
더홈,서울특별시 노원구 중계로 163-0,207117.6880689067,561137.4152863285
서울특별시립평화로운집,서울특별시 은평구 갈현로 15길 27-1,191655.9657704287,556431.1803899157
주몽재활원,서울특별시 강동구 상암로 369-0,214460.54855805004,549643.8512172834
소망제이앤피,서울특별시 강남구 언주로167길 35,202675.44896428753,547431.8879778156
다움장애아동지원센터,서울특별시 은평구 갈현로11길 30,191771.78005402477,556237.133218867
보담터,서울특별시 노원구 중계로 163-0,207117.6880689067,561137.4152863285
시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 23,192388.7637203788,552357.1181669687
승가원행복마을,서울특별시 성북구 개운사길 76-1,202622.26817539698,554492.4708556177
라온클린패밀리,서울특별시 강동구 고덕로 295-45,214026.12202356063,550916.8098483314
용산구립장애인주간보호센터,서울특별시 용산구 한강대로 331,197480.81393718155,549820.8837825363
두레네집공동생활가정,서울특별시 관악구 법원단지길 97-3,193121.69216547735,541710.9727206144
중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 55,207389.1814411387,557529.811769767
송파인성장애인복지관,서울특별시 송파구 마천로61길 26,213728.90272542206,543851.1210969863
사랑의복지관,서울특별시 서초구 강남대로 65길 19,202121.4186263186,544489.5659935212
성북장애인복지관,서울특별시 성북구 화랑로 130,204029.8497856712,556104.6163144886
한빛맹아원,서울특별시 강북구 삼양로73가길 47,201385.57797528277,558720.5569916725
하누리주간보호센터,서울특별시 금천구 시흥대로2길57,191718.5614290371,537319.732085277
헬렌켈러의집단기거주시설,서울특별시 강북구 삼양로91가길 8,201397.30184130045,559656.1341434178
헬렌켈러의집주간보호,서울특별시 강북구 삼양로80길 7,201612.72462228918,559040.3920968818
다니엘사랑이용센터,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
다니엘의집3호,서울특별시 서초구 신반포로43길 15,201555.31129386963,545707.458246118
다솜장애인공동생활가정,서울특별시 서대문구 가재울로6길 16,193167.54327003937,552850.9055760095
아이티장애인공동생활가정,서울특별시 서대문구 연희로41길 61-061,194253.4992908453,554631.6285034001
다솜장애인주간보호센터,서울특별시 서대문구 증가로4길 53,193628.1600362883,553152.9941248774
신목장애인주간보호시설,서울특별시 양천구 신목로 5,189086.731862442,546391.1287854445
디딤자리,서울특별시 강북구 덕릉로12길 13,201441.15042629646,559307.2347994281
너울자리,서울특별시 강동구 동남로85길 15,213773.11344597786,551314.1028483503
보금자리,서울특별시 강동구 동남로85길 15,213773.11344597786,551314.1028483503
하늘자리공동생활가정,서울특별시 강동구 동남로85길 15,213773.11344597786,551314.1028483503
주바라기해피홈,서울특별시 도봉구 도봉로169가길 45,203811.8823153559,564698.3288835813
동천하우스1,서울특별시 노원구 동일로237바길 8,204473.75008263538,563788.772050637
동천하우스2,서울특별시 노원구 한글비석로24바길 98,206166.76451729733,563010.3982545328
해맑음보호작업시설,서울특별시 노원구 동일로 1097,206295.36179053294,558687.8048402457
강북구수어통역센터,서울특별시 강북구 도봉로 388,202615.1351471003,560190.4337627249
그루터기공동생활가정,서울특별시 노원구 동일로191가길 26-0,206309.14149238027,558525.4820546833
관악구수어통역센터,서울특별시 관악구 쑥고개로 128,195637.60922641773,542140.5027025338
도봉구수어통역센터,서울특별시 도봉구 마들로13길 153,204076.2754937084,561941.4234393394
동천하우스4,서울특별시 도봉구 도봉로137길 46,203533.03692758764,562372.0925997966
동천하우스3,서울특별시 도봉구 시루봉로23길 64,203655.75077142747,563738.2689862805
서울특별시수어통역센터지원본부,서울특별시 서대문구 경기대로 15,196616.89394446605,551255.944742205
인강원,서울특별시 도봉구 평화로15번길 9-25,203741.3979285346,566110.7410844362
가브리엘작업장,서울특별시 노원구 한글비석로24라길 94-13,206154.97368808015,562979.5230824049
가브리엘주간보호센터,서울특별시 노원구 한글비석로24라길 94-13,206154.97368808015,562979.5230824049
더해봄(종로구립장애인근로사업장),서울특별시 종로구 대학로3길 14,200128.6730129793,552734.9194406401
발달장애인단기거주시설 동천휴,서울특별시 노원구 노원로18길 41,206471.52777337804,560533.6658801083
동천발달장애인주간활동센터,서울특별시 노원구 노원로18길 41,206471.52777337804,560533.6658801083
섬김주간보호센터,서울특별시 노원구 덕릉로70가길 92,205009.5387691672,560303.4915635223
북부장애인직업재활시설,서울특별시 노원구 덕릉로70가길 92,205009.5387691672,560303.4915635223
대린직업훈련원,서울특별시 노원구 동일로248길 30,205015.56204986497,564547.0587318793
위드주간보호센터,서울특별시 은평구 갈현로15길 11-13,191997.05625991913,556359.4003607753
시온공동생활가정,서울특별시 은평구 갈현로15길 24-5,191885.37405901228,556520.7429410764
은평공동생활가정,서울특별시 은평구 증산로19길 28-8,192214.7817926014,555123.7292468863
꽃새암,서울특별시 관악구 봉천로13길 29-28,193846.93264327664,543453.4974103625
꽃가람,서울특별시 관악구 국회단지21길 13,194825.5187644294,543408.980742691
소망그룹홈,서울특별시 강동구 양재대로91나길 37,211667.34972465827,547507.2684808305
동안제일복지센터,서울특별시 송파구 거마로 79,213012.96138671035,544511.733166304
강동그룹홈,서울특별시 강동구 양재대로 1414-8,212249.4803667406,548074.4549008744
송파그룹홈,서울특별시 송파구 토성로5길 16-1,210080.79360908462,548048.5121144752
동안우리복지센터,서울특별시 강동구 풍성로 146,211326.13212383474,547948.2508767567
해피죤,서울특별시 강동구 상암로 195,212741.71308313435,549693.8124145465
바오로교실주간보호센터,서울특별시 은평구 증산로5길 7,191794.881750662,553677.2055223793
바오로교실보호작업장,서울특별시 은평구 증산로5길 7,191794.881750662,553677.2055223793
열림일터,서울특별시 강서구 까치산로 136,186887.68361515738,550005.3227967832
아람마을,서울특별시 노원구 월계로 338-16,205134.05988895576,558796.1619227958
은평구립직업재활센터,서울특별시 은평구 녹번로1길 13,193513.84711940718,556134.2764657746
불광작은예수의집,서울특별시 은평구 연서로37길 21-5,193480.13242410313,558198.1263499672
성북구수어통역센터,서울특별시 성북구 아리랑로4길 22,201529.19202161982,555031.0811822765
아이비주간보호시설,서울특별시 강동구 천중로 87,211639.0860492959,549485.7787707531
아이비장애인단기보호시설,서울특별시 강동구 구천면로39길 12,211653.88054763072,549585.9552451582
파란마음복지센터,서울특별시 강동구 진황도로 100,212134.7793155986,548462.0343276194
함께사는세상,서울특별시 관악구 국회단지길 67,194811.78133244888,543247.8252215504
한벗둥지,서울특별시 마포구 월드컵북로12길 98,192501.7337271512,551768.1883779308
사랑샘,서울특별시 노원구 중계로 163,207117.6880689067,561137.4152863285
하은장애인주간보호시설,서울특별시 양천구 신목로 20,188957.89357024818,546527.4251628486
기쁨이 싹트는 나무,서울특별시 금천구 시흥대로80길 19-11,191238.04221797019,540007.7318674464
신나는 집 장애인공동생활가정,서울특별시 구로구 고척로52라길 19-7,187168.16752204645,544751.0293563015
제4샬롬장애인공동생활가정,서울특별시 중구 동호로15가길 37,200626.90305691367,550573.2794397966
예은장애인주간보호시설,서울특별시 구로구 부일로15길 25-5,185245.54712533797,543844.3851385817
예은장애인공동생활가정,서울특별시 양천구 오목로46길 17,187801.41074381076,547199.1295669543
다은장애인공동생활가정,서울특별시 양천구 목동중앙서로9길 20,188221.3110515802,548213.408437101
강동단기보호시설,서울특별시 강동구 구천면로 222,211446.85711211004,549017.7522691624
성민장애인주간보호소,서울특별시 노원구 노원로32길 42-20,206146.2604357113,561750.9666110391
라온채,서울특별시 구로구 고척로12길 15-4,186141.05231806808,544475.11903759
해피워크,서울특별시 성북구 오패산로 21-0,203220.07357168317,556109.8561213146
아이티어빌리티센터,서울특별시 강동구 고덕로 106,212109.43890959947,550560.6289142083
기원주간보호센터,서울특별시 은평구 통일로87길 6-19,192833.93880614798,558256.1969821338
한마음 주간보호센터,서울특별시 은평구 연서로17길 47,192260.15943591978,557160.2265492529
하늘꿈터,서울특별시 동대문구 사가정로25길 29,206214.74454193722,553404.7192529651
용산구수어통역센터,서울특별시 용산구 서빙고로 245,199211.1069813451,546777.9784754061
시립영등포장애인복지관,서울특별시 영등포구 버드나루로 22,192297.39765798755,546815.7921975856
다운주간보호센터,서울특별시 노원구 화랑로 478,207088.52492535577,557709.9623762729
모랫말꿈터,서울특별시 영등포구 도영로 37,190899.63677452583,545612.7678735564
강동그린나래복지센터,서울특별시 강동구 고덕로 100-5,212065.94645342923,550543.0516546976
성프란치스꼬민들레의집,서울특별시 영등포구 도신로 146-3,191859.17485550343,545531.818312122
햇살터(성프란치스꼬),서울특별시 구로구 남부순환로105라길 25-10,190316.88151611897,542464.1983665512
한마음2호공동생활가정,서울특별시 송파구 위례성대로8길 46,210386.05908874798,545741.2210591612
SG누리센터,서울특별시 금천구 시흥대로 182-0,191392.71187674737,538988.5051638439
노원1장애인주간보호센터,서울특별시 노원구 월계로 372,205341.3040726671,558939.5582523673
다사랑공동생활가정,서울특별시 강북구 노해로7길 42-5,201791.31362674356,559817.7665014773
다향공동생활가정,서울특별시 강서구 양천로 595,188083.4087597949,550763.1146892689
나자로의집보호작업장,서울특별시 관악구 남부순환로194길,194214.39957792443,542542.2982359731
북부(종합사회복지관)장애인주간보호센터,서울특별시 노원구 동일로245길 56,204622.63745443532,564439.113465304
실로암장애인근로사업장,서울특별시 관악구 남부순환로 1717,194795.1346672426,542621.3149627262
중계1호,서울특별시 노원구 노원로19길 31,206147.63106415627,560428.1118876362
중계2호그룹홈,서울특별시 노원구 노원로19길 31,206147.63106415627,560428.1118876362
상계(종합사회복지관)장애인주간보호센터,서울특별시 노원구 덕릉로115나길 25,206920.73181632295,563145.7812681881
평화장애인주간활동센터,서울특별시 노원구 노원로 331,206090.32415177298,560767.0880322917
영등포구주간보호센터,서울특별시 영등포구 신길로 55,191864.40638767995,544235.8262452515
임마누엘신사공동체,서울특별시 은평구 갈현로2가길 13,192152.02993597914,555528.2878254501
임마누엘역촌공동체,서울특별시 은평구 진흥로1길 13-19,192703.15108923658,555756.5773886144
서울남부주간보호센터,서울특별시 동작구 여의대방로20길 33,192849.1314021715,543694.5259958252
남부장애인공동생활가정1호,서울특별시 영등포구 도신로48길 9-13,192376.73198743406,545681.1054088457
남부장애인공동생활가정2호,서울특별시 영등포구 영신로17길 16-016,191746.34933890926,546004.5804112907
한빛장애인주간보호센터,서울특별시 양천구 신월로11길 16,185875.92519531256,546631.9326203506
관음의 집,서울특별시 금천구 독산로14길 13,191825.38797538003,539220.3861589793
지장의 집,서울특별시 금천구 독산로14길 13,191825.38797538003,539220.3861589793
노원시각장애인주간보호센터,서울특별시 노원구 상계로23길 42,205975.4812035093,562233.8703882372
원광장애인주간보호시설,서울특별시 중랑구 신내로 56,208478.48182106798,556073.310077563
보라매주간보호센터,서울특별시 동작구 여의대방로20길 33,192849.1314021715,543694.5259958252
정겨우리주간보호센터,서울특별시 은평구 갈현로11길 30,191771.78005402477,556237.133218867
정립회관주간보호센터,서울특별시 광진구 워커힐로 93,208627.92921028627,550146.9806368324
강서구수어통역센터,서울특별시 강서구 발산로 40,184218.3428940634,550471.2775947963
구로구수어통역센터,서울특별시 구로구 가마산로 272,190327.7384735887,544043.8973927906
삼전주간보호시설,서울특별시 송파구 백제고분로32길 35,208395.8912249694,544411.5332453578
브니엘의 집,서울특별시 구로구 구로중앙로21길 22-1,189995.4848820479,544086.1433709722
이수경하우스,서울특별시 노원구 덕릉로122길 15-4,207168.24456031696,563247.1486258124
송파시각장애인축구장,서울특별시 송파구 올림픽로 474,210388.61133711433,547258.1362848975
송파구장애인운전교육원,서울특별시 송파구 삼학사로2길 49,208890.85873205322,544138.7413795459
임마누엘시흥공동체,서울특별시 금천구 독산로50마길 19-10,192209.30714769938,540211.2043897163
임마누엘독산공동체,서울특별시 금천구 시흥대로118길 44,191261.0153119582,540974.6112156941
임마누엘신월공동체,서울특별시 양천구 오목로11길 9,186264.65451017825,547147.1752563845
임마누엘신정공동체,서울특별시 양천구 오목로 148-34,187107.13001410232,547158.9117946194
임마누엘개봉공동체,서울특별시 구로구 고척로16가길 35,186278.3365852614,544455.2356858084
임마누엘구로공동체,서울특별시 구로구 오리로22가길 38-6,184967.0077643156,544582.5728499809
임마누엘화곡1공동체,서울특별시 강서구 등촌로13다길 22-7,187552.86748178364,548458.6338321533
임마누엘화곡공동체,서울특별시 강서구 강서로10길 108,187083.5680154211,547918.7605078506
임마누엘등촌1공동체,서울특별시 강서구 화곡로66길 145-15,187768.4783076929,550666.8239119631
기쁜우리복지관부설주간보호시설,서울특별시 강서구 허준로 65,186651.52069523,552197.9334790496
충현복지관,서울특별시 강남구 논현로98길 16,203253.4935784472,544903.9467065514
해마을주간보호센터,서울특별시 강남구 개포로 617-8,206871.76483377785,543840.5163157817
중랑구수어통역센터,서울특별시 중랑구 면목로 299,207656.12690371685,553300.8509202567
성모자애 엠마우스공동생활가정 1,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애엠마우스공동생활가정3호,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애공동생활가정,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애주간보호시설,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애제2주간보호센터,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애보호작업장,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
사랑손주간보호센터,서울특별시 동작구 사당로 188-7,197292.76686873878,542846.6857096714
서울특별시립장애인생산품판매시설,서울특별시 양천구 목동서로 33,189582.84945650888,548650.9031100739
동작구립장애인보호작업장,서울특별시 동작구 등용로12길 57,194028.50286551012,545833.0404063531
성동주간보호센터,서울특별시 성동구 청계천로 506,202973.9579863982,552316.1147844904
성모보호작업장,서울특별시 성동구 금호산9가길 57-10,201639.05327124917,550382.2627707375
성동보호작업장,서울특별시 성동구 청계천로 506-0,202973.9579863982,552316.1147844904
성동장애인복지관공동생활가정(믿음의집),서울특별시 성동구 금호산9가길 57-10,201639.05327124917,550382.2627707375
성동장애인복지관공동생활가정(소망의집),서울특별시 성동구 금호산9가길 57-10,201639.05327124917,550382.2627707375
성동장애인복지관공동생활가정(사랑의집),서울특별시 성동구 금호산9가길 57-10,201639.05327124917,550382.2627707375
성동장애인복지관 공동생활가정(기쁨의 집),서울특별시 성동구 무수막14길 10,201893.11494713867,550341.3178058221
광진장애인보호작업장,서울특별시 광진구 동일로80길 20,207150.9837264096,552284.4110393765
은평구수어통역센터,서울특별시 은평구 증산서길 82,191770.6713854527,553784.4335311766
정립장애인보호작업장,서울특별시 광진구 워커힐로 93,208627.92921028627,550146.9806368324
정립전자,서울특별시 광진구 워커힐로 93,208627.92921028627,550146.9806368324
보라매그룹홈,서울특별시 동작구 보라매로13길 21,193504.96229473423,544083.963576866
자운그룹홈,서울특별시 도봉구 도봉로185길 14,203912.84382401302,565098.5968135302
까리따스장애인주간보호센터,서울특별시 서초구 남부순환로 2124,198603.460519148,541703.2556035531
사랑의일터,서울특별시 서초구 효령로55길 28,201283.67976463732,542963.9461527778
교남공동생활가정4호,서울특별시 강서구 까치산로8길 44,186417.30537690502,549135.797112126
교남공동생활가정1호,서울특별시 강서구 까치산로16길 21,186639.11432149413,549581.7656583759
구로구립장애인보호작업장,서울특별시 구로구 경인로 21,184502.03197237776,543380.4215048428
동천재활체육시설,서울특별시 노원구 노원로18길 41,206471.52777337804,560533.6658801083
교남공동생활가정5호,서울특별시 강서구 화곡로31길 5-6,186092.39525800926,549361.5519083065
